year,carcass_present,bird_or_mammal,species_code,species_sci_name,species_common_name,species_itis,species,age_class,sex,condition,cause_of_death,alive,n
1993,1,bird,ALCI,"Alicdae (gen, sp)",Alcid (unidentified),176967,"ALCI: Alcid (unidentified) (Alicdae (gen, sp); ITIS: 176967)",NA,U,4,NA,0,1
1993,1,bird,BFAL,Phoebastria nigripes,Black-footed Albatross,554379,BFAL: Black-footed Albatross (Phoebastria nigripes; ITIS: 554379),NA,U,3,NA,0,1
1993,1,bird,BIRD,"Aves (gen, sp)",Bird (unidentified marine/non-marine),174371,"BIRD: Bird (unidentified marine/non-marine) (Aves (gen, sp); ITIS: 174371)",NA,U,4,NA,0,5
1993,1,bird,BRAC,Phalacrocorax penicillatus,Brandt's Cormorant,174724,BRAC: Brandt's Cormorant (Phalacrocorax penicillatus; ITIS: 174724),NA,U,2,NA,0,2
1993,1,bird,BRAC,Phalacrocorax penicillatus,Brandt's Cormorant,174724,BRAC: Brandt's Cormorant (Phalacrocorax penicillatus; ITIS: 174724),NA,U,4,NA,0,2
1993,1,bird,BRPE,Pelecanus occidentalis,Brown Pelican,174685,BRPE: Brown Pelican (Pelecanus occidentalis; ITIS: 174685),NA,U,2,NA,0,1
1993,1,bird,BRPE,Pelecanus occidentalis,Brown Pelican,174685,BRPE: Brown Pelican (Pelecanus occidentalis; ITIS: 174685),NA,U,3,NA,0,1
1993,1,bird,CAGU,Larus californicus,California Gull,176829,CAGU: California Gull (Larus californicus; ITIS: 176829),NA,U,3,NA,0,4
1993,1,bird,CAGU,Larus californicus,California Gull,176829,CAGU: California Gull (Larus californicus; ITIS: 176829),NA,U,4,NA,0,1
1993,1,bird,COMU,Uria aalge,Common Murre,176974,COMU: Common Murre (Uria aalge; ITIS: 176974),NA,U,3,NA,0,5
1993,1,bird,COMU,Uria aalge,Common Murre,176974,COMU: Common Murre (Uria aalge; ITIS: 176974),NA,U,4,NA,0,11
1993,1,bird,CORM,Phalacrocorax (sp),Cormorant (unidentified),174713,CORM: Cormorant (unidentified) (Phalacrocorax (sp); ITIS: 174713),NA,U,4,NA,0,2
1993,1,bird,GREB,Podicipedidae (gen sp),Grebe (unidentified),174477,GREB: Grebe (unidentified) (Podicipedidae (gen sp); ITIS: 174477),NA,U,4,NA,0,1
1993,1,bird,GULL,Larus (sp),Gull (unidentified),176803,GULL: Gull (unidentified) (Larus (sp); ITIS: 176803),NA,U,0,NA,0,1
1993,1,bird,GULL,Larus (sp),Gull (unidentified),176803,GULL: Gull (unidentified) (Larus (sp); ITIS: 176803),NA,U,4,NA,0,4
1993,1,bird,HEEG,Larus heermanni,Heermann's Gull,176841,HEEG: Heermann's Gull (Larus heermanni; ITIS: 176841),NA,U,4,NA,0,1
1993,1,bird,HOGR,Podiceps auritus,Horned Grebe,174482,HOGR: Horned Grebe (Podiceps auritus; ITIS: 174482),NA,U,4,NA,0,1
1993,1,bird,NOFU,Fulmarus glacialis,Northern Fulmar,174536,NOFU: Northern Fulmar (Fulmarus glacialis; ITIS: 174536),NA,U,3,NA,0,1
1993,1,bird,NOFU,Fulmarus glacialis,Northern Fulmar,174536,NOFU: Northern Fulmar (Fulmarus glacialis; ITIS: 174536),NA,U,4,NA,0,2
1993,1,bird,PALO,Gavia pacifica,Pacific Loon,174475,PALO: Pacific Loon (Gavia pacifica; ITIS: 174475),NA,U,2,NA,0,1
1993,1,bird,PIGU,Cepphus columba,Pigeon Guillemot,176991,PIGU: Pigeon Guillemot (Cepphus columba; ITIS: 176991),NA,U,4,NA,0,1
1993,1,bird,RBGU,Larus delawarensis,Ring-billed Gull,176830,RBGU: Ring-billed Gull (Larus delawarensis; ITIS: 176830),NA,U,2,NA,0,1
1993,1,bird,RBGU,Larus delawarensis,Ring-billed Gull,176830,RBGU: Ring-billed Gull (Larus delawarensis; ITIS: 176830),NA,U,4,NA,0,4
1993,1,bird,SRTS,Puffinus tenuirostris,Short-tailed Shearwater,174554,SRTS: Short-tailed Shearwater (Puffinus tenuirostris; ITIS: 174554),NA,U,2,NA,0,1
1993,1,bird,SUSC,Melanitta perspicillata,Surf Scoter,175170,SUSC: Surf Scoter (Melanitta perspicillata; ITIS: 175170),NA,F,3,NA,0,1
1993,1,bird,WEGR,Aechmophorus occidentalis,Western Grebe,174503,WEGR: Western Grebe (Aechmophorus occidentalis; ITIS: 174503),NA,U,3,NA,0,1
1993,1,bird,WEGR,Aechmophorus occidentalis,Western Grebe,174503,WEGR: Western Grebe (Aechmophorus occidentalis; ITIS: 174503),NA,U,4,NA,0,1
1993,1,bird,WEGU,Larus occidentalis,Western Gull,176817,WEGU: Western Gull (Larus occidentalis; ITIS: 176817),NA,M,3,NA,0,1
1993,1,bird,WEGU,Larus occidentalis,Western Gull,176817,WEGU: Western Gull (Larus occidentalis; ITIS: 176817),NA,U,0,NA,0,1
1993,1,bird,WEGU,Larus occidentalis,Western Gull,176817,WEGU: Western Gull (Larus occidentalis; ITIS: 176817),NA,U,2,NA,0,2
1993,1,bird,WEGU,Larus occidentalis,Western Gull,176817,WEGU: Western Gull (Larus occidentalis; ITIS: 176817),NA,U,3,NA,0,9
1993,1,bird,WEGU,Larus occidentalis,Western Gull,176817,WEGU: Western Gull (Larus occidentalis; ITIS: 176817),NA,U,4,NA,0,1
1993,1,bird,NA,NA,Unknown,174371,NA: Unknown (NA; ITIS: 174371),NA,U,0,NA,0,15
1994,1,bird,ALCI,"Alicdae (gen, sp)",Alcid (unidentified),176967,"ALCI: Alcid (unidentified) (Alicdae (gen, sp); ITIS: 176967)",NA,U,2,NA,0,1
1994,1,bird,ALCI,"Alicdae (gen, sp)",Alcid (unidentified),176967,"ALCI: Alcid (unidentified) (Alicdae (gen, sp); ITIS: 176967)",NA,U,4,NA,0,1
1994,1,bird,AMCO,Fulica americana,American Coot,176292,AMCO: American Coot (Fulica americana; ITIS: 176292),NA,U,4,NA,0,1
1994,1,bird,ASSP,Oceanodroma homochroa,Ashy Storm-Petrel,174634,ASSP: Ashy Storm-Petrel (Oceanodroma homochroa; ITIS: 174634),NA,U,2,NA,0,1
1994,1,bird,BFAL,Phoebastria nigripes,Black-footed Albatross,554379,BFAL: Black-footed Albatross (Phoebastria nigripes; ITIS: 554379),NA,U,4,NA,0,1
1994,1,bird,BIRD,"Aves (gen, sp)",Bird (unidentified marine/non-marine),174371,"BIRD: Bird (unidentified marine/non-marine) (Aves (gen, sp); ITIS: 174371)",NA,U,4,NA,0,4
1994,1,bird,BRAC,Phalacrocorax penicillatus,Brandt's Cormorant,174724,BRAC: Brandt's Cormorant (Phalacrocorax penicillatus; ITIS: 174724),NA,U,0,NA,0,1
1994,1,bird,BRAC,Phalacrocorax penicillatus,Brandt's Cormorant,174724,BRAC: Brandt's Cormorant (Phalacrocorax penicillatus; ITIS: 174724),NA,U,2,NA,0,1
1994,1,bird,BRAC,Phalacrocorax penicillatus,Brandt's Cormorant,174724,BRAC: Brandt's Cormorant (Phalacrocorax penicillatus; ITIS: 174724),NA,U,3,NA,0,3
1994,1,bird,BRAC,Phalacrocorax penicillatus,Brandt's Cormorant,174724,BRAC: Brandt's Cormorant (Phalacrocorax penicillatus; ITIS: 174724),NA,U,4,NA,0,1
1994,1,bird,BRPE,Pelecanus occidentalis,Brown Pelican,174685,BRPE: Brown Pelican (Pelecanus occidentalis; ITIS: 174685),NA,U,2,NA,0,1
1994,1,bird,CAGU,Larus californicus,California Gull,176829,CAGU: California Gull (Larus californicus; ITIS: 176829),NA,U,2,NA,0,2
1994,1,bird,CAGU,Larus californicus,California Gull,176829,CAGU: California Gull (Larus californicus; ITIS: 176829),NA,U,3,NA,0,3
1994,1,bird,CATE,Hydroprogne caspia,Caspian Tern,176935,CATE: Caspian Tern (Hydroprogne caspia; ITIS: 176935),NA,U,4,NA,0,1
1994,1,bird,CLGR,Aechmophorus clarkii,Clark's Grebe,554027,CLGR: Clark's Grebe (Aechmophorus clarkii; ITIS: 554027),NA,U,2,NA,0,1
