species_sci_name,species_common_name,species_itis,species_code,species_genus,species,bird_or_mammal,n
Corvus brachyrhyn./corax,American Crow/Common Raven,179724,ACCR,NA,ACCR: American Crow/Common Raven (Corvus brachyrhyn./corax; ITIS: 179724),bird,12
Anas crecca,American Green-winged Teal,175081,AGWT,NA,AGWT: American Green-winged Teal (Anas crecca; ITIS: 175081),bird,27
NA,Unidentified Alcid,176967,ALCD,NA,ALCD: Unidentified Alcid (NA; ITIS: 176967),bird,551
"Alicdae (gen, sp)",Alcid (unidentified),176967,ALCI,NA,"ALCI: Alcid (unidentified) (Alicdae (gen, sp); ITIS: 176967)",bird,89
Recurvirostra americana,American Avocet,176721,AMAV,NA,AMAV: American Avocet (Recurvirostra americana; ITIS: 176721),bird,1
Fulica americana,American Coot,176292,AMCO,NA,AMCO: American Coot (Fulica americana; ITIS: 176292),bird,133
Corvus brachyrhynchos,American Crow,179731,AMCR,NA,AMCR: American Crow (Corvus brachyrhynchos; ITIS: 179731),bird,27
Turdus migratorius,American Robin,179759,AMRO,NA,AMRO: American Robin (Turdus migratorius; ITIS: 179759),bird,2
Anas americana,American Wigeon,175094,AMWI,NA,AMWI: American Wigeon (Anas americana; ITIS: 175094),bird,10
Synthliboramphus antiquus,Ancient Murrelet,177008,ANMU,NA,ANMU: Ancient Murrelet (Synthliboramphus antiquus; ITIS: 177008),bird,103
Gavia arctica,Arctic Loon,174471,ARLO,NA,ARLO: Arctic Loon (Gavia arctica; ITIS: 174471),bird,1
Sterna paradisaea,Arctic Tern,176890,ARTE,NA,ARTE: Arctic Tern (Sterna paradisaea; ITIS: 176890),bird,2
Oceanodroma homochroa,Ashy Storm-petrel,174634,ASSP,NA,ASSP: Ashy Storm-petrel (Oceanodroma homochroa; ITIS: 174634),bird,9
Oceanodroma homochroa,Ashy Storm-Petrel,174634,ASSP,NA,ASSP: Ashy Storm-Petrel (Oceanodroma homochroa; ITIS: 174634),bird,18
Pelecanus erythrorhynchos,American White Pelican,174684,AWPE,NA,AWPE: American White Pelican (Pelecanus erythrorhynchos; ITIS: 174684),bird,3
Tyto alba,Barn Owl,177851,BANO,NA,BANO: Barn Owl (Tyto alba; ITIS: 177851),bird,30
Riparia riparia,Bank Swallow,178436,BANS,NA,BANS: Bank Swallow (Riparia riparia; ITIS: 178436),bird,1
Pluvialis squatarola,Black-bellied Plover,176567,BBPL,NA,BBPL: Black-bellied Plover (Pluvialis squatarola; ITIS: 176567),bird,10
Nycticorax nycticorax,Black-crowned Night-Heron,174832,BCNH,NA,BCNH: Black-crowned Night-Heron (Nycticorax nycticorax; ITIS: 174832),bird,13
Diomedea nigripes,Black-footed Albatross,174516,BFAL,NA,BFAL: Black-footed Albatross (Diomedea nigripes; ITIS: 174516),bird,34
Phoebastria nigripes,Black-footed Albatross,554379,BFAL,NA,BFAL: Black-footed Albatross (Phoebastria nigripes; ITIS: 554379),bird,13
"Aves (gen, sp)",Bird (unidentified marine/non-marine),174371,BIRD,NA,"BIRD: Bird (unidentified marine/non-marine) (Aves (gen, sp); ITIS: 174371)",bird,279
NA,Unknown,174371,BIRD,NA,BIRD: Unknown (NA; ITIS: 174371),bird,106
Rissa tridactyla,Black-legged Kittiwake,176875,BLKI,NA,BLKI: Black-legged Kittiwake (Rissa tridactyla; ITIS: 176875),bird,151
Haematopus bachmani,Black Oystercatcher,176475,BLOY,NA,BLOY: Black Oystercatcher (Haematopus bachmani; ITIS: 176475),bird,9
Melanitta americana,Black Scoter,175171,BLSC,NA,BLSC: Black Scoter (Melanitta americana; ITIS: 175171),bird,12
Melanitta nigra,Black Scoter,175171,BLSC,NA,BLSC: Black Scoter (Melanitta nigra; ITIS: 175171),bird,12
Arenaria melanocephala,Black Turnstone,176574,BLTU,NA,BLTU: Black Turnstone (Arenaria melanocephala; ITIS: 176574),bird,7
Chroicocephalus philadelphia,Bonaparte's Gull,824040,BOGU,NA,BOGU: Bonaparte's Gull (Chroicocephalus philadelphia; ITIS: 824040),bird,21
Larus philadelphia,Bonaparte's Gull,176839,BOGU,NA,BOGU: Bonaparte's Gull (Larus philadelphia; ITIS: 176839),bird,14
Phalacrocorax penicillatus,Brandt's Cormorant,174724,BRAC,NA,BRAC: Brandt's Cormorant (Phalacrocorax penicillatus; ITIS: 174724),bird,13707
Branta bernicla,Brant,175011,BRAN,NA,BRAN: Brant (Branta bernicla; ITIS: 175011),bird,58
Sula leucogaster,Brown Booby,174704,BRBO,NA,BRBO: Brown Booby (Sula leucogaster; ITIS: 174704),bird,3
Pelecanus occidentalis,Brown Pelican,174685,BRPE,NA,BRPE: Brown Pelican (Pelecanus occidentalis; ITIS: 174685),bird,2937
